"target_id","cohort","url","rank","domain","source_url"
"tranco-00001","large_general","https://google.com/","1","google.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00002","large_general","https://cloudflare.com/","2","cloudflare.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00003","large_general","https://gtld-servers.net/","3","gtld-servers.net","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00004","large_general","https://gstatic.com/","4","gstatic.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00005","large_general","https://facebook.com/","5","facebook.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00006","large_general","https://microsoft.com/","6","microsoft.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00007","large_general","https://googleapis.com/","7","googleapis.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00008","large_general","https://amazonaws.com/","8","amazonaws.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00009","large_general","https://youtube.com/","9","youtube.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00010","large_general","https://apple.com/","10","apple.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00011","large_general","https://instagram.com/","11","instagram.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00012","large_general","https://mail.ru/","12","mail.ru","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00013","large_general","https://ezviz7.com/","13","ezviz7.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00014","large_general","https://akamai.net/","14","akamai.net","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00015","large_general","https://fbcdn.net/","15","fbcdn.net","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00016","large_general","https://twitter.com/","16","twitter.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00017","large_general","https://dzen.ru/","17","dzen.ru","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00018","large_general","https://linkedin.com/","18","linkedin.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00019","large_general","https://googletagmanager.com/","19","googletagmanager.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00020","large_general","https://googlevideo.com/","20","googlevideo.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00021","large_general","https://live.com/","21","live.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00022","large_general","https://office.com/","22","office.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00023","large_general","https://akamaiedge.net/","23","akamaiedge.net","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00024","large_general","https://hicloudcam.com/","24","hicloudcam.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00025","large_general","https://amazon.com/","25","amazon.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00026","large_general","https://akadns.net/","26","akadns.net","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00027","large_general","https://azure.com/","27","azure.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00028","large_general","https://domaincontrol.com/","28","domaincontrol.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00029","large_general","https://wikipedia.org/","29","wikipedia.org","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00030","large_general","https://github.com/","30","github.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00031","large_general","https://bing.com/","31","bing.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00032","large_general","https://whatsapp.net/","32","whatsapp.net","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00033","large_general","https://fastly.net/","33","fastly.net","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00034","large_general","https://doubleclick.net/","34","doubleclick.net","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00035","large_general","https://googleusercontent.com/","35","googleusercontent.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00036","large_general","https://apple-dns.net/","36","apple-dns.net","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00037","large_general","https://appsflyersdk.com/","37","appsflyersdk.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00038","large_general","https://trafficmanager.net/","38","trafficmanager.net","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00039","large_general","https://microsoftonline.com/","39","microsoftonline.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00040","large_general","https://aaplimg.com/","40","aaplimg.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00041","large_general","https://netflix.com/","41","netflix.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00042","large_general","https://office.net/","42","office.net","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00043","large_general","https://wordpress.org/","43","wordpress.org","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00044","large_general","https://sharepoint.com/","44","sharepoint.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00045","large_general","https://digicert.com/","45","digicert.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00046","large_general","https://youtu.be/","46","youtu.be","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00047","large_general","https://skype.com/","47","skype.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00048","large_general","https://gandi.net/","48","gandi.net","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00049","large_general","https://ripn.net/","49","ripn.net","https://tranco-list.eu/top-1m.csv.zip"
"tranco-00050","large_general","https://cloudfront.net/","50","cloudfront.net","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00001","messy_candidate_long_tail","https://webrenovation.com.au/","900001","webrenovation.com.au","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00002","messy_candidate_long_tail","https://hamagbicro.hr/","900002","hamagbicro.hr","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00003","messy_candidate_long_tail","https://travelurban.nl/","900003","travelurban.nl","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00004","messy_candidate_long_tail","https://cdnstorage-22.sbs/","900004","cdnstorage-22.sbs","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00005","messy_candidate_long_tail","https://orangeville.com/","900005","orangeville.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00006","messy_candidate_long_tail","https://chainbits.com/","900006","chainbits.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00007","messy_candidate_long_tail","https://sherwood.it/","900007","sherwood.it","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00008","messy_candidate_long_tail","https://price1.it/","900008","price1.it","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00009","messy_candidate_long_tail","https://ceva-ip.com/","900009","ceva-ip.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00010","messy_candidate_long_tail","https://cherry-auto.buzz/","900010","cherry-auto.buzz","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00011","messy_candidate_long_tail","https://truecorsetcanada.com/","900011","truecorsetcanada.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00012","messy_candidate_long_tail","https://milkingporn.com/","900012","milkingporn.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00013","messy_candidate_long_tail","https://levelkitchen.com/","900013","levelkitchen.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00014","messy_candidate_long_tail","https://6894.casino/","900014","6894.casino","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00015","messy_candidate_long_tail","https://thegatesscholarship.org/","900015","thegatesscholarship.org","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00016","messy_candidate_long_tail","https://hij.ru/","900016","hij.ru","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00017","messy_candidate_long_tail","https://jewish.museum/","900017","jewish.museum","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00018","messy_candidate_long_tail","https://prospektefinder.de/","900018","prospektefinder.de","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00019","messy_candidate_long_tail","https://progressiverobot.com/","900019","progressiverobot.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00020","messy_candidate_long_tail","https://karma.life/","900020","karma.life","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00021","messy_candidate_long_tail","https://thred.com/","900021","thred.com","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00022","messy_candidate_long_tail","https://meteo.gov.lk/","900022","meteo.gov.lk","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00023","messy_candidate_long_tail","https://hd-world.cc/","900023","hd-world.cc","https://tranco-list.eu/top-1m.csv.zip"
"tranco-tail-00024","messy_candidate_long_tail","https://redq.io/","900024","redq.io","https://tranco-list.eu/top-1m.csv.zip"
